HG002	HG002_HiSeq30x_subsampled_R1.fastq.gz
HG002	HG002_HiSeq30x_subsampled_R2.fastq.gz
HG00438	HG00438.final.cram
HG00621	HG00621.final.cram
HG00735	HG00735.final.cram
HG01071	HG01071.final.cram
HG01175	HG01175.final.cram
HG01361	HG01361.final.cram
HG01978	HG01978.final.cram
HG02257	HG02257.final.cram
HG03516	HG03516.final.cram
HG01109	HG01109.final.cram
HG01243	HG01243.final.cram
HG02080	HG02080.final.cram
HG03492	HG03492.final.cram
HG01928	HG01928.final.cram
