HG002_1	HG002#1#JAHKSE010000042.1
HG002_1	HG002#1#JAHKSE010000605.1
HG002_2	HG002#2#JAHKSD010000211.1
HG002_2	HG002#2#JAHKSD010000113.1
HG002_2	HG002#2#JAHKSD010000442.1
HG01361_1	HG01361#1#JAGYYX010000242.1
HG01361_1	HG01361#1#JAGYYX010000268.1
HG01361_1	HG01361#1#JAGYYX010000244.1
HG03516_1	HG03516#1#JAGYYT010000175.1
HG03516_1	HG03516#1#JAGYYT010000336.1
HG03516_1	HG03516#1#JAGYYT010000259.1
HG01109_1	HG01109#1#JAHEPA010000404.1
HG01109_2	HG01109#2#JAHEOZ010000230.1
HG01109_2	HG01109#2#JAHEOZ010000342.1
HG01109_2	HG01109#2#JAHEOZ010000358.1
HG03492_1	HG03492#1#JAHEPI010000590.1
